Canton,Year,GDP
Jura,2015,4717000
Switzerland,2015,675736000
Zurich,2016,147367000
Berne,2016,79542000
Lucerne,2016,27200000
Uri,2016,1941000
Schwyz,2016,9416000
Obwalden,2016,2498000
Nidwalden,2016,2940000
Glarus,2016,2756000
Zug,2016,19340000
Fribourg,2016,18556000
Solothurn,2016,18004000
Basel_Stadt,2016,35992000
Basel_Landschaft,2016,20138000
Schaffhausen,2016,7201000
Appenzell_A,2016,3135000
Appenzell_I,2016,1021000
St_Gallen,2016,37563000
Graubuenden,2016,14394000
Aargau,2016,42313000
Thurgau,2016,16712000
Ticino,2016,30382000
Vaud,2016,57902000
Valais,2016,18303000
Neuchatel,2016,15612000
Geneva,2016,50483000
Jura,2016,4728000
Switzerland,2016,685441000
Zurich,2017,150715000
Berne,2017,79627000
Lucerne,2017,27658000
Uri,2017,1916000
Schwyz,2017,9578000
Obwalden,2017,2502000
Nidwalden,2017,3058000
Glarus,2017,2887000
Zug,2017,19537000
Fribourg,2017,18933000
Solothurn,2017,18220000
Basel_Stadt,2017,38212000
Basel_Landschaft,2017,20798000
Schaffhausen,2017,7179000
Appenzell_A,2017,3147000
Appenzell_I,2017,1015000
St_Gallen,2017,37882000
Graubuenden,2017,14191000
Aargau,2017,42832000
Thurgau,2017,16771000
Ticino,2017,29638000
Vaud,2017,55816000
Valais,2017,18539000
Neuchatel,2017,15818000
Geneva,2017,52370000
Jura,2017,4853000
Switzerland,2017,693694000
Zurich,2018,158753000
Berne,2018,81727000
Lucerne,2018,28132000
Uri,2018,1983000
Schwyz,2018,9834000
Obwalden,2018,2549000
Nidwalden,2018,3103000
Glarus,2018,2826000
Zug,2018,20119000
Fribourg,2018,19385000
Solothurn,2018,18629000
Basel_Stadt,2018,39071000
Basel_Landschaft,2018,21046000
Schaffhausen,2018,7458000
Appenzell_A,2018,3259000
Appenzell_I,2018,1049000
St_Gallen,2018,38596000
Graubuenden,2018,14624000
Aargau,2018,44086000
Thurgau,2018,17274000
Ticino,2018,30946000
Vaud,2018,59199000
Valais,2018,19512000
Neuchatel,2018,16507000
Geneva,2018,54530000
Jura,2018,5073000
Switzerland,2018,719272000
Zurich,2019p,157389000
Berne,2019p,83337000
Lucerne,2019p,28656000
Uri,2019p,2019000
Schwyz,2019p,10082000
Obwalden,2019p,2664000
Nidwalden,2019p,3088000
Glarus,2019p,2932000
Zug,2019p,20831000
Fribourg,2019p,19828000
Solothurn,2019p,18879000
Basel_Stadt,2019p,39193000
Basel_Landschaft,2019p,21062000
Schaffhausen,2019p,7583000
Appenzell_A,2019p,3312000
Appenzell_I,2019p,1061000
St_Gallen,2019p,39489000
Graubuenden,2019p,15070000
Aargau,2019p,45005000
Thurgau,2019p,17648000
Ticino,2019p,31453000
Vaud,2019p,59503000
Valais,2019p,20016000
Neuchatel,2019p,16704000
Geneva,2019p,55235000
Jura,2019p,5173000
Switzerland,2019p,727212000
